"id","worker.id","accept.time","submit.time","ip","enjoy","fair_pay","gender","age","programming.experience","bugs","regex.experience","education"
"3KAKFY4PGU2PHZV9YN2X05JGKF13IJ","c3b5112",2017-03-02 22:02:59,2017-03-02 22:15:13,"73.166.225.134","It was interesting","1.0","Male","32","little, matlab and vba","no","yes, know what they do but would have to lookup syntax again","college"
"3KYQYYSHYV7XVD89P7LEXB1EN1PDOM","cd3e56a",2017-03-02 22:10:02,2017-03-02 22:14:18,"75.170.51.91","it was okay","$2","woman","53","no","no","no","college"
"3LPW2N6LKT2X45DD6NF4Y55BS6F5UJ","58ad285",2017-03-02 21:58:27,2017-03-02 22:21:20,"73.204.214.56","There was above average appeal.","1.50","male","47","no experience","All was clear","no experience","professional"
"3LWJHTCVCCMXE9ZLVQ88AGZZEFNFQ7","7de1a9e",2017-03-02 21:59:58,2017-03-02 22:09:17,"97.99.157.20","moderately","1.00","female ","26","no","no","no","some_college"
"3MRNMEIQW56PPS5CCF5M5UXKSWKDL5","5505187",2017-03-02 21:59:32,2017-03-02 22:05:59,"73.114.222.76","I liked it. I'm not sure how accurate I was, but I had fun with it.","$1","Male","31","None.","No, none.","I don't think I know what a regular expression is. I might have learned it in college, but that was a good bit of time ago.","college"
"3NC5L260MOMUTXM5GDG4LB4ZZE5FOZ","f2ea518",2017-03-02 21:59:54,2017-03-02 22:27:44,"2601:580:10a:7d41:9c83:eda4:5d5f:bb89","A lot.","1.00","male","31","none","No issues","no","high_school"
"3S96KQ6I9M4D85DHLO7DRL71M96DT8","6223b70",2017-03-02 22:00:48,2017-03-02 22:08:28,"75.141.252.83","Very much! I enjoy things that make my think.","0.50","female","26","I know Java, and have 3 classes left on a BS, in Computer Science","No.","Regular expressions are ways to create patterns in coding. I have mild experience creating them, but only utilizing Java and a regex cheat sheet site.","some_college"
"3SBEHTYCWN3QX2SXN8VNQZFTTGVYIJ","df8e555",2017-03-02 22:00:14,2017-03-02 22:13:36,"216.164.56.88","Yes I quite enjoyed it","0.5","male","46","yes, I am  programmer","no","is  a special text string for describing a search pattern","college"
"3SPJ0334213MSDC35QGN20UT6VKYJV","6f4a5ac",2017-03-02 22:00:06,2017-03-02 22:05:24,"68.121.255.154","It was fun.","2.00","female","34","I took a couple classes in college about ten years ago.","No.","An expression is a term used to describe a formula for computing. I have created a few expressions during the course of my college classes.","some_college"
"3WETL7AQWT8D5B0UR3J3BWFBFTV359","508d26f",2017-03-02 21:59:48,2017-03-02 22:21:57,"2601:58c:4303:ed04:657a:3e01:ffca:a024","was fun, easy. and fast. ","1.00","male","63","None.","No, good","No","some_college"
"3WI0P0II61S0SQ0PHZ2IR66JYO9DRV","311157b",2017-03-02 22:00:38,2017-03-02 22:07:00,"75.114.57.180","It was okay, but a bit confusing on the rules.","1.00","female","44","no","none","no","some_college"
"3X08E93BHVI8LYNQFOR6A55VLF866Y","7ca64c7",2017-03-02 22:00:53,2017-03-02 22:06:17,"130.71.244.133","It was more enjoyable than most, surprisingly","1.00","Male","19","Python (1 course), C++ (years ago)","None whatsoever","I can't recall. Even if  I did, little to no experience.","some_college"
"3YDTZAI2WXGZZPIFQUMAIBU0HDM14A","36fa08f",2017-03-02 22:00:35,2017-03-02 22:09:59,"2601:85:4401:8d30:4cf4:e4b0:ccbc:9094","I liked trying to figure out the rules, but I would've liked to see if I got the answers correctly or not.","$1.00 plus a bonus for correct answers","Male","27","No","No issues. ","No","some_college"
"3YWRV122CSZGRNWF4LM7APF2UWG8UO","407c946",2017-03-02 22:00:32,2017-03-02 22:03:22,"2605:e000:af88:7100:e0fb:cc03:9499:1007","it was okay","1.5","m","27","no
","none","no","college"
"3ZQIG0FLQEGRU3HX7ECIKRK7QARVWE","0647057",2017-03-02 22:00:24,2017-03-02 22:05:32,"2600:8804:8140:18e:c9bd:bd74:16b4:17e6","It was interesting and I enjoyed it. It was something different.","2.00","Male","25","Many years ago, and it was JAVA. Not much experience as most of it was forgotten.","No issues.","No idea.","college"
"3ZSANO2JCF79RPEYNUXD5GE0W38FSW","4f77824",2017-03-02 22:00:29,2017-03-02 22:07:55,"104.33.105.103","very much","1.00","Male","28","no.","no.","n/a","college"
"3ZWFC4W1UU7XQAEL85X8F694A1PFR8","0618c58",2017-03-02 22:00:23,2017-03-02 22:12:47,"2601:201:101:a5e0:9c55:4f53:f210:220f","8/10 would say fair but nothing amazing","1.00","Male","23","none","no","none","high_school"
