"assignment.id","worker.id","rule.id","gloss"
"36AHBNMV1RC9PRCBVUUCZ2ZG1BNYDH","3e639a8","zip-code","every element in the string must be a numeric digit"
"36AHBNMV1RC9PRCBVUUCZ2ZG1BNYDH","3e639a8","consonants-only","every element in the string must be a non-numeric consonant"
"36AHBNMV1RC9PRCBVUUCZ2ZG1BNYDH","3e639a8","delimiters","the first element of the string must be the character [ and the last element of the string must be the character ]"
"36PW28KO4ZWDLFS8BJRG2YZUYWMAED","ee50e35","3a","A repeating letter/number of 3 or more."
"36PW28KO4ZWDLFS8BJRG2YZUYWMAED","ee50e35","zip-code","The string must be 5 numbers/letters exactly."
"36PW28KO4ZWDLFS8BJRG2YZUYWMAED","ee50e35","consonants-only","The string must have no vowels."
"36PW28KO4ZWDLFS8BJRG2YZUYWMAED","ee50e35","delimiters","Must be six non repeated pairs in brackets."
"37M28K1J0QDLWVE0PK27ZECM34IAJY","49c1535","3a","No numbers"
"37M28K1J0QDLWVE0PK27ZECM34IAJY","49c1535","zip-code","Strings without numbers do not belong"
"37M28K1J0QDLWVE0PK27ZECM34IAJY","49c1535","consonants-only","strings with qs belong"
"37M28K1J0QDLWVE0PK27ZECM34IAJY","49c1535","delimiters","strings with letters and dashes only"
"37QW5D2ZRGM0CA4BFGR7VOXE9ZV8S8","e41fd9a","3a","I believe the rule is that the string must be of the same symbol"
"37QW5D2ZRGM0CA4BFGR7VOXE9ZV8S8","e41fd9a","zip-code","i think the rule says it must be all numbers"
"37QW5D2ZRGM0CA4BFGR7VOXE9ZV8S8","e41fd9a","consonants-only","all consanents"
"37QW5D2ZRGM0CA4BFGR7VOXE9ZV8S8","e41fd9a","delimiters","must be contained within brackets"
"37ZHEEHM6WMSSFEDFWY09GT76ZQ37O","fa8eade","3a","All numbers or letters that are the same (according to the rule the other MTurker made)."
"37ZHEEHM6WMSSFEDFWY09GT76ZQ37O","fa8eade","zip-code","All the same numbers/letters or exactly 5 digits."
"37ZHEEHM6WMSSFEDFWY09GT76ZQ37O","fa8eade","consonants-only","All the same numbers/letters, exactly 5 digits or sequential such as abc or 123."
"37ZHEEHM6WMSSFEDFWY09GT76ZQ37O","fa8eade","delimiters","All the same numbers/letters, exactly 5 digits or sequential such as abc or 123 or all in brackets."
"39GXDJN2OTEG42LF9BWC6BHL83P8VD","1ac75e3","3a","As long as there are more than 2 consecutive a's, the string will be able to match. "
"39GXDJN2OTEG42LF9BWC6BHL83P8VD","1ac75e3","zip-code","As long as the numbers 12345 are in that order, without another number added or deducted, it is a match."
"39GXDJN2OTEG42LF9BWC6BHL83P8VD","1ac75e3","consonants-only","It has to be within 5 characters, and either the first 4 have to be the same with a different character at the end or the last two characters have to be the same. "
"39GXDJN2OTEG42LF9BWC6BHL83P8VD","1ac75e3","delimiters","The string has to be within a bracket and contain both numbers and letters for it to be a match. "
"39K0FND3AHFBX3KLSHFZF6437YDAM2","9d560a8","3a","It was any number of lower case a's and nothing else."
"39K0FND3AHFBX3KLSHFZF6437YDAM2","9d560a8","zip-code","Five numbers each increasing by one."
"39K0FND3AHFBX3KLSHFZF6437YDAM2","9d560a8","consonants-only","That the string only has consonants."
"39K0FND3AHFBX3KLSHFZF6437YDAM2","9d560a8","delimiters","That the string has brackets around it."
"39L1G8WVWQREHTZBQGHR862U3DQ13P","48d2a84","3a","All letters are the same"
"39L1G8WVWQREHTZBQGHR862U3DQ13P","48d2a84","zip-code","Numbers no letters"
"39L1G8WVWQREHTZBQGHR862U3DQ13P","48d2a84","consonants-only","No Vowels"
"39L1G8WVWQREHTZBQGHR862U3DQ13P","48d2a84","delimiters","Dosent Match if it a patern or not in brackets"
"39OWYR0EPKR6NBQ7M0P2N221DO3YFS","1539e4d","3a","all same letters"
"39OWYR0EPKR6NBQ7M0P2N221DO3YFS","1539e4d","zip-code","double numbers or letters"
"39OWYR0EPKR6NBQ7M0P2N221DO3YFS","1539e4d","consonants-only","random sequence of letters"
"39OWYR0EPKR6NBQ7M0P2N221DO3YFS","1539e4d","delimiters","have brackets in sequence "
"3C44YUNSI1PFGDKA47YTMB64X6LDP3","5b184a5","3a","Can only contain the letter a"
"3C44YUNSI1PFGDKA47YTMB64X6LDP3","5b184a5","zip-code","Numbers only and they cannot decrease"
"3C44YUNSI1PFGDKA47YTMB64X6LDP3","5b184a5","consonants-only","Letters in order on a keyboard but without vowels"
"3C44YUNSI1PFGDKA47YTMB64X6LDP3","5b184a5","delimiters","No repeating numbers and they have to be in brackets"
"3DPNQGW4LLFU6BJCW0YRD7LHPO264D","db093d4","3a","I think it means that they have to be all the same letters or numbers to fit."
"3DPNQGW4LLFU6BJCW0YRD7LHPO264D","db093d4","zip-code","I think the rule is that the numbers or letters have to be followed by the next in line."
"3DPNQGW4LLFU6BJCW0YRD7LHPO264D","db093d4","consonants-only","I think the rule is that it cannot contain a vowel or special character."
"3DPNQGW4LLFU6BJCW0YRD7LHPO264D","db093d4","delimiters","I think the rule is that they have to be inside brackets."
"3E1QT0TDFP9BIW1FA4XTRMRR01TI8Q","32eefe5","3a","same letters"
"3E1QT0TDFP9BIW1FA4XTRMRR01TI8Q","32eefe5","zip-code","five numbers
"
"3E1QT0TDFP9BIW1FA4XTRMRR01TI8Q","32eefe5","consonants-only","three letters; random"
"3E1QT0TDFP9BIW1FA4XTRMRR01TI8Q","32eefe5","delimiters","series in one set of brackets"
"3FIJLY1B6U4CEXY6VDTJAB9P9J1FPG","283d9bd","3a","I think that the rule is that every letter or number in the string has to be the same. "
"3FIJLY1B6U4CEXY6VDTJAB9P9J1FPG","283d9bd","zip-code","I think that the rule is that the number or letters to the right of the first number in the string must be higher than the next."
"3FIJLY1B6U4CEXY6VDTJAB9P9J1FPG","283d9bd","consonants-only","I think the rule is that the numbers or letters must go backwards by 1 and not repeat. "
"3FIJLY1B6U4CEXY6VDTJAB9P9J1FPG","283d9bd","delimiters","I think that the string must be inside brackets. "
"3FK0YFF9PZGEFEHSH47MYP1TJ1PVV4","7b84461","3a","Lower case ""a"" only, with more than one ""a"""
"3FK0YFF9PZGEFEHSH47MYP1TJ1PVV4","7b84461","zip-code","5 digit number"
"3FK0YFF9PZGEFEHSH47MYP1TJ1PVV4","7b84461","consonants-only","no vowels allowed "
"3FK0YFF9PZGEFEHSH47MYP1TJ1PVV4","7b84461","delimiters",""" [  ] "" only"
"3IO1LGZLK9XVPC6E83O4UJ1MRAY68K","8584b12","3a","straight letters are OK. no repeating numbers. no all different letters."
"3IO1LGZLK9XVPC6E83O4UJ1MRAY68K","8584b12","zip-code","must be 5 characters"
"3IO1LGZLK9XVPC6E83O4UJ1MRAY68K","8584b12","consonants-only","must be at least 2 adjacent characters repeating"
"3IO1LGZLK9XVPC6E83O4UJ1MRAY68K","8584b12","delimiters","at least some of the characters must be in brackets or any other parenthesis "
"3IOEN3P9S7JDECMT9IFPF9EED4S16V","e585812","3a","A string has to contain at least 3 letters/numbers"
"3IOEN3P9S7JDECMT9IFPF9EED4S16V","e585812","zip-code","The rule is, if a string has more or less than 5 numbers then it's not a fit"
"3IOEN3P9S7JDECMT9IFPF9EED4S16V","e585812","consonants-only","The string can't contain vowels or special characters like #$%^"
"3IOEN3P9S7JDECMT9IFPF9EED4S16V","e585812","delimiters","The string has to be inside of this []"
"3IOEN3P9S7JDECMT9IFPF9EED4S610","1285d1b","3a","YOU CAN ONLY USE 1 TYPE OF LETTER "
"3IOEN3P9S7JDECMT9IFPF9EED4S610","1285d1b","zip-code","YOU CAN USE ONLY NUMBERS"
"3IOEN3P9S7JDECMT9IFPF9EED4S610","1285d1b","consonants-only","CAN USE ONLY DIFFERENT CONSONANTS "
"3IOEN3P9S7JDECMT9IFPF9EED4S610","1285d1b","delimiters","n/a"
"3JPSL1DZ5SZHFL5L4IUZSLT3CONAN2","a78cf9d","3a","it has to be the same"
"3JPSL1DZ5SZHFL5L4IUZSLT3CONAN2","a78cf9d","zip-code","only numbers"
"3JPSL1DZ5SZHFL5L4IUZSLT3CONAN2","a78cf9d","consonants-only","not sure. letters that don't make sense"
"3JPSL1DZ5SZHFL5L4IUZSLT3CONAN2","a78cf9d","delimiters","letters, numbers and "
"3KAKFY4PGU2PHZV9YN2X05JGKF13IJ","c3b5112","3a","all repeated characters"
"3KAKFY4PGU2PHZV9YN2X05JGKF13IJ","c3b5112","zip-code","only numbers"
"3KAKFY4PGU2PHZV9YN2X05JGKF13IJ","c3b5112","consonants-only","Only consonants"
"3KAKFY4PGU2PHZV9YN2X05JGKF13IJ","c3b5112","delimiters","In square brackets, only one character can be repeated"
"3KYQYYSHYV7XVD89P7LEXB1EN1PDOM","cd3e56a","3a","all a"
"3KYQYYSHYV7XVD89P7LEXB1EN1PDOM","cd3e56a","zip-code","numerals onpy"
"3KYQYYSHYV7XVD89P7LEXB1EN1PDOM","cd3e56a","consonants-only","all consonants"
"3KYQYYSHYV7XVD89P7LEXB1EN1PDOM","cd3e56a","delimiters","starts with 6"
"3LPW2N6LKT2X45DD6NF4Y55BS6F5UJ","58ad285","3a","Anything more than or equal to ""aaa."" If there are  more than or equal to 3 lower case ""a"" in string it works."
"3LPW2N6LKT2X45DD6NF4Y55BS6F5UJ","58ad285","zip-code","Need exact ""12345"" and nothing else works."
"3LPW2N6LKT2X45DD6NF4Y55BS6F5UJ","58ad285","consonants-only","Requires a minimum of 4 consonants to meet the requirement."
"3LPW2N6LKT2X45DD6NF4Y55BS6F5UJ","58ad285","delimiters","The string begins with an open bracket ""["" and ends with a close bracket ""]"" That is the rule"
"3LWJHTCVCCMXE9ZLVQ88AGZZEFNFQ7","7de1a9e","3a","I have no idea. "
"3LWJHTCVCCMXE9ZLVQ88AGZZEFNFQ7","7de1a9e","zip-code","I have no idea. "
"3LWJHTCVCCMXE9ZLVQ88AGZZEFNFQ7","7de1a9e","consonants-only","I have no idea. "
"3LWJHTCVCCMXE9ZLVQ88AGZZEFNFQ7","7de1a9e","delimiters","I have no idea. "
"3MRNMEIQW56PPS5CCF5M5UXKSWKDL5","5505187","3a","I think the rule is a string has to be repeating. AAA, AAAA, BBB, etc would fit this rule, while AAAB would not."
"3MRNMEIQW56PPS5CCF5M5UXKSWKDL5","5505187","zip-code","I'm not sure, but I think the rule is that numbers can repeat, as long as they come in order?"
"3MRNMEIQW56PPS5CCF5M5UXKSWKDL5","5505187","consonants-only","Is the rule ""no vowels?"""
"3MRNMEIQW56PPS5CCF5M5UXKSWKDL5","5505187","delimiters","I really have very little idea about this one. It sort of looks like the string has to be inside brackets, and has to have a certain amount of digits, but I'm really not sure."
"3NC5L260MOMUTXM5GDG4LB4ZZE5FOZ","f2ea518","3a","Must be letter a"
"3NC5L260MOMUTXM5GDG4LB4ZZE5FOZ","f2ea518","zip-code","Has to be 5 numbers"
"3NC5L260MOMUTXM5GDG4LB4ZZE5FOZ","f2ea518","consonants-only","5 letters only"
"3NC5L260MOMUTXM5GDG4LB4ZZE5FOZ","f2ea518","delimiters","must have [box]"
"3S96KQ6I9M4D85DHLO7DRL71M96DT8","6223b70","3a","Lower case repeating characters."
"3S96KQ6I9M4D85DHLO7DRL71M96DT8","6223b70","zip-code","5 numerical characters, not necessarily sequential "
"3S96KQ6I9M4D85DHLO7DRL71M96DT8","6223b70","consonants-only","Only lower case consonants. "
"3S96KQ6I9M4D85DHLO7DRL71M96DT8","6223b70","delimiters","Brackets containing uppercase characters and numerical characters. "
"3SBEHTYCWN3QX2SXN8VNQZFTTGVYIJ","df8e555","3a","Use the same letter"
"3SBEHTYCWN3QX2SXN8VNQZFTTGVYIJ","df8e555","zip-code","Use 5 spaces"
"3SBEHTYCWN3QX2SXN8VNQZFTTGVYIJ","df8e555","consonants-only","Just use consonants"
"3SBEHTYCWN3QX2SXN8VNQZFTTGVYIJ","df8e555","delimiters","Use a clasp before and after"
"3SPJ0334213MSDC35QGN20UT6VKYJV","6f4a5ac","3a","All items is string have to be the same character."
"3SPJ0334213MSDC35QGN20UT6VKYJV","6f4a5ac","zip-code","The string can only contain numbers."
"3SPJ0334213MSDC35QGN20UT6VKYJV","6f4a5ac","consonants-only","The string must contain letters, but not any vowels."
"3SPJ0334213MSDC35QGN20UT6VKYJV","6f4a5ac","delimiters","The string must contain numbers or capital letters inside of two brackets."
"3WETL7AQWT8D5B0UR3J3BWFBFTV359","508d26f","3a","Has to be lowercase a "
"3WETL7AQWT8D5B0UR3J3BWFBFTV359","508d26f","zip-code","has to start with numbers 12###"
"3WETL7AQWT8D5B0UR3J3BWFBFTV359","508d26f","consonants-only","must be 3 letters"
"3WETL7AQWT8D5B0UR3J3BWFBFTV359","508d26f","delimiters","must be in brackets one on each end"
"3WI0P0II61S0SQ0PHZ2IR66JYO9DRV","311157b","3a","More than 1 repetitive character "
"3WI0P0II61S0SQ0PHZ2IR66JYO9DRV","311157b","zip-code","Numbers in order but not more than 5."
"3WI0P0II61S0SQ0PHZ2IR66JYO9DRV","311157b","consonants-only","not sure at all"
"3WI0P0II61S0SQ0PHZ2IR66JYO9DRV","311157b","delimiters","string in brackets"
"3X08E93BHVI8LYNQFOR6A55VLF866Y","7ca64c7","3a","String can consist only of the character 'a'"
"3X08E93BHVI8LYNQFOR6A55VLF866Y","7ca64c7","zip-code","String consists of 5 characters"
"3X08E93BHVI8LYNQFOR6A55VLF866Y","7ca64c7","consonants-only","String contains no vowels"
"3X08E93BHVI8LYNQFOR6A55VLF866Y","7ca64c7","delimiters","String begins and ends with brackets"
"3YDTZAI2WXGZZPIFQUMAIBU0HDM14A","36fa08f","3a","It has to have 3 or more characters and start with a lowercase letter."
"3YDTZAI2WXGZZPIFQUMAIBU0HDM14A","36fa08f","zip-code","A string of numbers that is 5 characters long."
"3YDTZAI2WXGZZPIFQUMAIBU0HDM14A","36fa08f","consonants-only","a string of characters that does not contain vowels."
"3YDTZAI2WXGZZPIFQUMAIBU0HDM14A","36fa08f","delimiters","I'm not sure what the rule is. My best guess is that it is a string of numbers between  brackets ( "" [  ] "" ) and begins with a six."
"3YWRV122CSZGRNWF4LM7APF2UWG8UO","407c946","3a","common letters or numbers"
"3YWRV122CSZGRNWF4LM7APF2UWG8UO","407c946","zip-code","numbers only"
"3YWRV122CSZGRNWF4LM7APF2UWG8UO","407c946","consonants-only","multiples of same letter"
"3YWRV122CSZGRNWF4LM7APF2UWG8UO","407c946","delimiters","anything inside []"
"3ZQIG0FLQEGRU3HX7ECIKRK7QARVWE","0647057","3a","The string has to be the same input over and over. Can't have anything else in the string."
"3ZQIG0FLQEGRU3HX7ECIKRK7QARVWE","0647057","zip-code","Numbers only. No letters or other inputs."
"3ZQIG0FLQEGRU3HX7ECIKRK7QARVWE","0647057","consonants-only","No vowels. Letters only."
"3ZQIG0FLQEGRU3HX7ECIKRK7QARVWE","0647057","delimiters","Brackets and numbers only. Numbers can only be repeated twice."
"3ZSANO2JCF79RPEYNUXD5GE0W38FSW","4f77824","3a","a sequence of similar characters."
"3ZSANO2JCF79RPEYNUXD5GE0W38FSW","4f77824","zip-code","a sequence of characters that does not surpass five characters."
"3ZSANO2JCF79RPEYNUXD5GE0W38FSW","4f77824","consonants-only","a sequence of character that are alphabetically related."
"3ZSANO2JCF79RPEYNUXD5GE0W38FSW","4f77824","delimiters","a string that has a bracket as a prefix."
"3ZWFC4W1UU7XQAEL85X8F694A1PFR8","0618c58","3a","all 3 aaa's and no caps anything after doesn't matter"
"3ZWFC4W1UU7XQAEL85X8F694A1PFR8","0618c58","zip-code","all numbers and no letters"
"3ZWFC4W1UU7XQAEL85X8F694A1PFR8","0618c58","consonants-only","no vowels"
"3ZWFC4W1UU7XQAEL85X8F694A1PFR8","0618c58","delimiters","solid brackets at the ends"
