"seq.id","rule.id","assignment.id","worker.id","exs","gloss"
"76aae7a","delimiters","30MVJZJNHMD7RC4VXEO73J1202T9JA","41610de","""asdfasdfasdf"" - ‖ ""234hase234asdf"" - ‖ ""[sldfjkj1231-23]"" + ‖ ""[]"" + ‖ ""[1]"" + ‖ ""[sdf123414]"" +","the string must be contained between a set of brackets []"
"ebda6ed","zip-code","30MVJZJNHMD7RC4VXEO73J1202T9JA","41610de","""12345"" + ‖ ""1234A"" - ‖ ""32146"" + ‖ ""3214B"" - ‖ ""3214!"" - ‖ ""3214@"" -","The string has to consist of numbers only."
"ecba21d","suffix-s","30MVJZJNHMD7RC4VXEO73J1202T9JA","41610de","""dfdfs"" + ‖ ""wisconsincheese1s"" + ‖ ""trmdsf"" - ‖ ""sdsadsa"" - ‖ ""schoolnows"" +","I think the rule is that the string has to end in 's'. "
"3808bfe","suffix-s","30OG32W0SUBK5YMXKNWLO4JU0JEENT","35b0b30","""dogs"" + ‖ ""cat"" -","Must be plural or four characters. "
"7632bef","delimiters","30OG32W0SUBK5YMXKNWLO4JU0JEENT","35b0b30","""[tr567]"" + ‖ ""tr567]"" - ‖ ""[tr567"" - ‖ ""tr567"" -","Must be inside the brackets"
"f29e6ff","zip-code","30OG32W0SUBK5YMXKNWLO4JU0JEENT","35b0b30","""12345"" + ‖ ""56789"" + ‖ ""13579"" + ‖ ""24684"" + ‖ ""98324"" + ‖ ""abcde"" - ‖ ""123456"" - ‖ ""1234a"" - ‖ ""a4567"" - ‖ ""1357911"" -","Must be five characters with similar characteristics, such as numbers only. The numbers must have some relation to the others, such as odd or even numbers."
"fe23a85","3a","30OG32W0SUBK5YMXKNWLO4JU0JEENT","35b0b30","""aaa"" + ‖ ""aaaaaaa"" + ‖ ""aaaaa"" + ‖ ""aaaaaaaaaaaaaaaaa"" + ‖ ""a"" - ‖ ""aa"" -","must be more than three characters "
"0f5e5fa","delimiters","30X31N5D63QEVYXQCEBLRF3922OAS4","c120b77","""[sajoafosa]"" + ‖ ""sajoafosa"" - ‖ ""[231]"" + ‖ ""231"" -","try to be answer in the square brackets"
"66584c1","zip-code","30X31N5D63QEVYXQCEBLRF3922OAS4","c120b77","""abcde"" - ‖ ""12345"" + ‖ ""67890"" + ‖ ""a24fz"" - ‖ ""53417"" + ‖ ""163467"" - ‖ ""1479713"" - ‖ ""5659"" - ‖ ""12"" -","It quiets to be numeric"
"844609e","suffix-s","30X31N5D63QEVYXQCEBLRF3922OAS4","c120b77","""fdflbfugls"" + ‖ ""&^*&%GGFs"" + ‖ ""hgfaufy"" - ‖ ""&^%*&%"" -","I do not know"
"96ed36e","3a","30X31N5D63QEVYXQCEBLRF3922OAS4","c120b77","""a"" - ‖ ""aa"" - ‖ ""aaa"" + ‖ ""aaaa"" + ‖ ""aaaaa"" + ‖ ""b"" - ‖ ""bb"" - ‖ ""bbb"" -","I donot know"
"032d129","3a","3180JW2OT4COQP2JUOBQR3W0E69J5S","013c1c3","""aaa"" + ‖ ""aaaa"" + ‖ ""aaaaa"" + ‖ ""bbbb"" - ‖ ""ccc"" - ‖ ""aa"" - ‖ ""a"" - ‖ ""aaab"" -","A string of all lowercase a's consisting of 3 or more"
"0e0608d","suffix-s","3180JW2OT4COQP2JUOBQR3W0E69J5S","013c1c3","""aerT5s"" + ‖ ""a45gr"" - ‖ ""ds"" + ‖ ""AB45s"" + ‖ ""1234"" - ‖ ""1234s"" +","a string of letters or numbers or a combination of both ending in s"
"96ed36e","zip-code","3180JW2OT4COQP2JUOBQR3W0E69J5S","013c1c3","""1"" - ‖ ""12"" - ‖ ""123"" - ‖ ""1234"" - ‖ ""12345"" + ‖ ""123456"" - ‖ ""12349"" + ‖ ""23435"" + ‖ ""123a2"" -","a string of numbers with 5 digits, no letters, numerical order doesn't matter"
"ec8b199","delimiters","3180JW2OT4COQP2JUOBQR3W0E69J5S","013c1c3","""[A]"" + ‖ ""[A"" - ‖ ""A]"" - ‖ ""[]"" +","a string with closed brackets"
"3808bfe","zip-code","31HQ4X3T3SAVRHOU950B0TJKWFMLSY","46d43af","""25987"" + ‖ ""587967456"" - ‖ ""21783"" +","The string must have exactly 5 digits."
"51be3ed","suffix-s","31HQ4X3T3SAVRHOU950B0TJKWFMLSY","46d43af","""tbjuss"" +","I don't know"
"96ed36e","3a","31HQ4X3T3SAVRHOU950B0TJKWFMLSY","46d43af","""a"" - ‖ ""aa"" - ‖ ""aaa"" + ‖ ""aaaa"" + ‖ ""aaaaa"" + ‖ ""b"" - ‖ ""bb"" - ‖ ""bbb"" -","The string must consist of at least 3 vowels in a row"
"ec8b199","delimiters","31HQ4X3T3SAVRHOU950B0TJKWFMLSY","46d43af","""[A]"" + ‖ ""[A"" - ‖ ""A]"" - ‖ ""[]"" +","The string must be completely bracketed."
"032d129","zip-code","31JLPPHS2UUZDL6CWIF2K2F2Z4T3O6","9221df8","""12345"" + ‖ ""23456"" + ‖ ""37428"" + ‖ ""3457385"" - ‖ ""546932"" - ‖ ""1254"" - ‖ ""1234d"" - ‖ ""12342a"" -","I don't know"
"66584c1","delimiters","31JLPPHS2UUZDL6CWIF2K2F2Z4T3O6","9221df8","""[dogs]"" + ‖ ""[cat]"" + ‖ ""[you]"" + ‖ ""dogs"" - ‖ ""cat"" - ‖ ""you"" -","Any combination of letters and number closed in brackets is the rule"
"76aae7a","3a","31JLPPHS2UUZDL6CWIF2K2F2Z4T3O6","9221df8","""aaa"" + ‖ ""g123456f"" -","The rule is to write a single letter or number at least three times."
"db12c41","suffix-s","31JLPPHS2UUZDL6CWIF2K2F2Z4T3O6","9221df8","""dfsdfkjnms"" + ‖ ""12475634s"" + ‖ ""sddvcvt56743212s"" + ‖ ""dfgfgfhgfhto"" - ‖ ""ffdgddfg654"" - ‖ ""43434556789"" -","I don't know"
"402a4e5","suffix-s","31Q0U3WYDPFWIC0YSSKHLNEABV517M","bec14f7","""lots"" + ‖ ""sneezes"" + ‖ ""breeze"" -","any word and the letter ""s"" at the end."
"6f2ca8f","3a","31Q0U3WYDPFWIC0YSSKHLNEABV517M","bec14f7","""aaa"" +","Three same letters not capitalized of the alphabet is the string."
"b2614f0","delimiters","31Q0U3WYDPFWIC0YSSKHLNEABV517M","bec14f7","""[..,..]"" + ‖ ""as[da]43"" - ‖ ""[x9;''2s]"" +","any combination of letters and numbers in brackets."
"ec8b199","zip-code","31Q0U3WYDPFWIC0YSSKHLNEABV517M","bec14f7","""12345"" + ‖ ""67890"" + ‖ ""123456"" - ‖ ""567890"" - ‖ ""a1234"" -","Five numbers are the string."
"0f5e5fa","suffix-s","324G5B4FB38WBNFGW9GH7IV063Z70P","35649ff","""hihos"" + ‖ ""hiho"" - ‖ ""eeeees"" + ‖ ""eeeee"" -","It has to be an s at the end of a string of letters to be a string"
"844609e","delimiters","324G5B4FB38WBNFGW9GH7IV063Z70P","35649ff","""[hhfagh]"" + ‖ ""[&*%&%^]"" + ‖ ""*&*^&]"" - ‖ ""[gfkfktf"" -","The rule is that the string has to be inside two of these []"
"a23551a","zip-code","324G5B4FB38WBNFGW9GH7IV063Z70P","35649ff","""83902"" + ‖ ""82908074"" - ‖ ""hsidk"" -","I don't know"
"ec8b199","3a","324G5B4FB38WBNFGW9GH7IV063Z70P","35649ff","""aaa"" + ‖ ""aaaa"" + ‖ ""aa"" - ‖ ""AAA"" - ‖ ""aaA"" - ‖ ""aaaA"" - ‖ ""aaaaa"" +","It has to be more than one lower case and no uppercase letters to be a string."
"0f5e5fa","suffix-s","32KTQ2V7RDFXSKAG0B1ZJBTJ4WO9ME","b179c97","""hihos"" + ‖ ""hiho"" - ‖ ""eeeees"" + ‖ ""eeeee"" -","The rule is that the string ends in s"
"66584c1","delimiters","32KTQ2V7RDFXSKAG0B1ZJBTJ4WO9ME","b179c97","""[dogs]"" + ‖ ""[cat]"" + ‖ ""[you]"" + ‖ ""dogs"" - ‖ ""cat"" - ‖ ""you"" -","The string is single bracketed."
"6f2ca8f","3a","32KTQ2V7RDFXSKAG0B1ZJBTJ4WO9ME","b179c97","""aaa"" +","I don't know."
"7db670e","zip-code","32KTQ2V7RDFXSKAG0B1ZJBTJ4WO9ME","b179c97","""12345"" + ‖ ""16321"" + ‖ ""54321"" + ‖ ""1111111111"" - ‖ ""a1bh1sja1"" - ‖ ""c89an127"" - ‖ ""c423p"" -","Strings consist of only numbers and only 5 digits."
"032d129","3a","32N49TQG3GIUNQEU69GQ22NG15YAVN","035f5d1","""aaa"" + ‖ ""aaaa"" + ‖ ""aaaaa"" + ‖ ""bbbb"" - ‖ ""ccc"" - ‖ ""aa"" - ‖ ""a"" - ‖ ""aaab"" -","Three or more letter ""A""s."
"49bb605","zip-code","32N49TQG3GIUNQEU69GQ22NG15YAVN","035f5d1","""35164"" + ‖ ""72755"" + ‖ ""54f64"" - ‖ ""256334"" - ‖ ""84982"" +","Only five characters, which must be numerals."
"d2f7661","delimiters","32N49TQG3GIUNQEU69GQ22NG15YAVN","035f5d1","""[sdf]"" + ‖ ""[343]"" + ‖ ""[3234234234]"" + ‖ ""[231ddddaaaa]"" + ‖ ""[##%DG]"" + ‖ ""[]"" + ‖ ""{}"" - ‖ ""23r23r"" - ‖ ""333333"" - ‖ ""34g34ggdgg"" -","Can be any series of characters, including no characters, as long as the response is bracketed."
"f9e86c3","suffix-s","32N49TQG3GIUNQEU69GQ22NG15YAVN","035f5d1","""almostanythinggoes"" + ‖ ""xxxxxxxxxxxxxxxxxxxs"" + ‖ ""jhfd8934bndfsu889s"" + ‖ ""xs"" + ‖ ""&fds&hFF4jfdhF9347^zs"" +","Must contain characters of some kind."
"66584c1","suffix-s","32Q90QCQ1SLJXS1UNA45WC2Q6O9KEU","cfda6b7","""beads"" + ‖ ""cats"" + ‖ ""bead"" - ‖ ""cat"" -","Needs to be plural."
"7632bef","delimiters","32Q90QCQ1SLJXS1UNA45WC2Q6O9KEU","cfda6b7","""[tr567]"" + ‖ ""tr567]"" - ‖ ""[tr567"" - ‖ ""tr567"" -","It needs [ and ]"
"9eabb06","3a","32Q90QCQ1SLJXS1UNA45WC2Q6O9KEU","cfda6b7","""aaa"" + ‖ ""aaaa"" + ‖ ""abaa"" - ‖ ""aa"" - ‖ ""bbb"" -","It has to be at least three repeating letters."
"d2f7661","zip-code","32Q90QCQ1SLJXS1UNA45WC2Q6O9KEU","cfda6b7","""11111"" + ‖ ""44444"" + ‖ ""55555"" + ‖ ""3333"" - ‖ ""333333"" - ‖ ""33333"" + ‖ ""sefsefwefef"" - ‖ ""32t23t34t6g"" - ‖ ""$#%$^^"" - ‖ ""rrrrr"" - ‖ ""y5y5y"" - ‖ ""4444s"" -","Has to be only five repeating numbers."
"032d129","delimiters","32RIADZISS4ZT9H93D1UECH9ATSS4D","f2c1166","""[dog]"" + ‖ ""dog"" - ‖ ""[cat]"" + ‖ ""cat"" - ‖ ""[123]"" + ‖ ""123"" -","A series of letters and numbers or symbols."
"76aae7a","3a","32RIADZISS4ZT9H93D1UECH9ATSS4D","f2c1166","""aaa"" + ‖ ""g123456f"" -","just a string of same letters"
"bb0e730","zip-code","32RIADZISS4ZT9H93D1UECH9ATSS4D","f2c1166","""01234"" + ‖ ""012345"" - ‖ ""85235712"" - ‖ ""85235"" + ‖ ""sas14"" -","a string of 5 numbers"
"f29e6ff","suffix-s","32RIADZISS4ZT9H93D1UECH9ATSS4D","f2c1166","""fj38fj498js"" + ‖ ""r5iffffkkkks"" + ‖ ""59yhkgyg7s"" + ‖ ""FJEFJISFJs"" + ‖ ""SIJF$$FES"" - ‖ ""48f94wfwh"" - ‖ ""GRSRSRSFJh"" - ‖ ""sw4wfJEHSFK"" -","a string of either numbers or letters ending with a lower case s"
"032d129","zip-code","32SCWG5HIH4GV45VUKQFG5WCJ0RP6F","2be7653","""12345"" + ‖ ""23456"" + ‖ ""37428"" + ‖ ""3457385"" - ‖ ""546932"" - ‖ ""1254"" - ‖ ""1234d"" - ‖ ""12342a"" -","The string must be 5 digits long and contain only digits. It is okay if the numbers are not in order."
"6e119de","3a","32SCWG5HIH4GV45VUKQFG5WCJ0RP6F","2be7653","""aaa"" + ‖ ""aaaa"" + ‖ ""aaaaa"" + ‖ ""123"" - ‖ ""bbb"" - ‖ ""aab"" - ‖ ""abb"" - ‖ ""horse"" -","The string must be between 3 and 5 letters long and contain only the same letter."
"82b570d","delimiters","32SCWG5HIH4GV45VUKQFG5WCJ0RP6F","2be7653","""[asdasd]"" + ‖ ""[]"" + ‖ ""asdasdasd"" - ‖ ""[asdasd"" - ‖ ""asdasdasd]"" -","The string must be fully contained in parentheses. "
"844609e","suffix-s","32SCWG5HIH4GV45VUKQFG5WCJ0RP6F","2be7653","""fdflbfugls"" + ‖ ""&^*&%GGFs"" + ‖ ""hgfaufy"" - ‖ ""&^%*&%"" -","I don't know"
"032d129","delimiters","32SVAV9L3F9ABHCBMZAKJ7VXAMP3A5","57dbbaa","""[dog]"" + ‖ ""dog"" - ‖ ""[cat]"" + ‖ ""cat"" - ‖ ""[123]"" + ‖ ""123"" -","must be in brakets"
"0f5e5fa","3a","32SVAV9L3F9ABHCBMZAKJ7VXAMP3A5","57dbbaa","""aaa"" + ‖ ""sss"" - ‖ ""fff"" - ‖ ""sdgsdgsdg"" - ‖ ""3353"" - ‖ ""aaa"" +","must be aaa"
"0f5e5fa","suffix-s","32SVAV9L3F9ABHCBMZAKJ7VXAMP3A5","57dbbaa","""hihos"" + ‖ ""hiho"" - ‖ ""eeeees"" + ‖ ""eeeee"" -","must end in s"
"66584c1","zip-code","32SVAV9L3F9ABHCBMZAKJ7VXAMP3A5","57dbbaa","""abcde"" - ‖ ""12345"" + ‖ ""67890"" + ‖ ""a24fz"" - ‖ ""53417"" + ‖ ""163467"" - ‖ ""1479713"" - ‖ ""5659"" - ‖ ""12"" -","5 numbers"
"032d129","suffix-s","32VNZTT0A74NSUHWOO1PO2CDOR8R4N","63a0bf5","""cats"" + ‖ ""dogs"" + ‖ ""dog"" - ‖ ""cat"" -","type the plural name of a four-legged animal"
"9eabb06","delimiters","32VNZTT0A74NSUHWOO1PO2CDOR8R4N","63a0bf5","""[hello]"" + ‖ ""hello]"" - ‖ ""[hello"" - ‖ ""[]hello"" - ‖ ""hello[]"" -","Start with an open bracket, type a word, and end with a close bracket"
"bb0e730","3a","32VNZTT0A74NSUHWOO1PO2CDOR8R4N","63a0bf5","""aaa"" + ‖ ""bbb"" - ‖ ""aa"" - ‖ ""aaaa"" + ‖ ""aaa1"" -","type three or more 'a' figures"
"f29e6ff","zip-code","32VNZTT0A74NSUHWOO1PO2CDOR8R4N","63a0bf5","""12345"" + ‖ ""56789"" + ‖ ""13579"" + ‖ ""24684"" + ‖ ""98324"" + ‖ ""abcde"" - ‖ ""123456"" - ‖ ""1234a"" - ‖ ""a4567"" - ‖ ""1357911"" -","type exactly five single-digit numbers of any quantity"
"13ab615","delimiters","32Z9ZLUT1LKE7TDBB344OWGCI9BHOR","b3accfc","""[jdfjddj83]"" + ‖ ""[373hd93eh___uejeje]"" + ‖ ""[jdidhdhdhd"" - ‖ ""@_5454gfgfgfy]"" -","There must be a set of at least four unique characters with no repetitions, ideally with both letters and numbers.
So ABCDABCD would work. AB97AB86 would be even better.
ABABABAB or 86868686 would not work because it repeats too much.

I also just realized that a lot more simply, the first two are bound by brackets and the latter two aren't. So I will have to incorporate that."
"96ed36e","zip-code","32Z9ZLUT1LKE7TDBB344OWGCI9BHOR","b3accfc","""1"" - ‖ ""12"" - ‖ ""123"" - ‖ ""1234"" - ‖ ""12345"" + ‖ ""123456"" - ‖ ""12349"" + ‖ ""23435"" + ‖ ""123a2"" -","It needs to be 5 numbers, and only five numbers. No letters."
"bb0e730","suffix-s","32Z9ZLUT1LKE7TDBB344OWGCI9BHOR","b3accfc","""sfaushf"" - ‖ ""sfaushs"" + ‖ ""123"" - ‖ ""123s"" +","It needs to end with an s."
"f29e6ff","3a","32Z9ZLUT1LKE7TDBB344OWGCI9BHOR","b3accfc","""aaaaaa"" + ‖ ""aaaaaaaa"" + ‖ ""aaaa"" + ‖ ""aaa"" + ‖ ""aaaaaaaaaaaaaa"" + ‖ ""aa"" - ‖ ""aaA"" - ‖ ""aaAAAAA"" - ‖ ""AaAAAAaAAA"" - ‖ ""aaHHHRW%"" - ‖ ""a"" -","It needs to consist of nothing but lower case ""a"". At least three, but you can have as many as you want."
"76aae7a","suffix-s","32ZKVD547FNFURH3SDAGEIF3S5A3B2","f72b539","""4015i9asdfkljfs"" + ‖ ""dldkfjkl124-4-4444444"" - ‖ ""sad;fk;lk1111s"" + ‖ ""sdlfjljk55s"" + ‖ ""s;dfkl3413s"" + ‖ ""ajk;a;sdf0-->s"" +","The string can't have more than 20 characters."
"b2614f0","3a","32ZKVD547FNFURH3SDAGEIF3S5A3B2","f72b539","""a"" - ‖ ""aa"" - ‖ ""aaa"" + ‖ ""aaaaaaaa"" +","The string must have at least three characters."
"d2f7661","delimiters","32ZKVD547FNFURH3SDAGEIF3S5A3B2","f72b539","""[sdf]"" + ‖ ""[343]"" + ‖ ""[3234234234]"" + ‖ ""[231ddddaaaa]"" + ‖ ""[##%DG]"" + ‖ ""[]"" + ‖ ""{}"" - ‖ ""23r23r"" - ‖ ""333333"" - ‖ ""34g34ggdgg"" -","The string must begin and end with brackets."
"ebda6ed","zip-code","32ZKVD547FNFURH3SDAGEIF3S5A3B2","f72b539","""12345"" + ‖ ""1234A"" - ‖ ""32146"" + ‖ ""3214B"" - ‖ ""3214!"" - ‖ ""3214@"" -","Capital letters and symbols cannot be added at the end of a string of numbers."
"13ab615","3a","336YQZE83VEERX84XLOI7VOHIZ55MH","4dde0c8","""aaaaaaaa"" + ‖ ""aaaaaaaaaaaaaaaaa"" + ‖ ""xyzpdq"" - ‖ ""AA"" -","At least one lower-case 'a' involved"
"1dc006e","zip-code","336YQZE83VEERX84XLOI7VOHIZ55MH","4dde0c8","""35487"" + ‖ ""354871"" - ‖ ""asdef"" - ‖ ""1257"" -","This string must be numbers only and NOT include a '1'"
"6f2ca8f","delimiters","336YQZE83VEERX84XLOI7VOHIZ55MH","4dde0c8","""[hello]"" +","must include at least one lower-case number"
"ebda6ed","suffix-s","336YQZE83VEERX84XLOI7VOHIZ55MH","4dde0c8","""123456s"" + ‖ ""123456"" - ‖ ""A1B2C3D4F5s"" + ‖ ""A1B2C3D4F5"" -","Must include letters and numbers, must include lower-case 's'"
"9eabb06","delimiters","338JKRMM26ZP5PJA1KZMN1W7TR7AHJ","9394aee","""[hello]"" + ‖ ""hello]"" - ‖ ""[hello"" - ‖ ""[]hello"" - ‖ ""hello[]"" -","It needs to be a word inside of square brackets"
"a33a11b","zip-code","338JKRMM26ZP5PJA1KZMN1W7TR7AHJ","9394aee","""15485"" + ‖ ""15485a"" - ‖ ""abcde"" - ‖ ""abcdef"" - ‖ ""12654"" + ‖ ""84565"" + ‖ ""54156"" + ‖ ""1565"" - ‖ ""545"" - ‖ ""54"" - ‖ ""5"" - ‖ ""545654"" -","It needs to be 5 numbers long."
"c09faf8","3a","338JKRMM26ZP5PJA1KZMN1W7TR7AHJ","9394aee","""aaaa"" + ‖ ""aaa"" + ‖ ""bbb"" -","It needs to only have the letter a"
"c09faf8","suffix-s","338JKRMM26ZP5PJA1KZMN1W7TR7AHJ","9394aee","""123ds"" + ‖ ""456gs"" +","It needs to be 3 numbers and 2 letters"
"49bb605","zip-code","33C7UALJVLY0IQ5H2XCNZNA5MDR81S","0415cca","""35164"" + ‖ ""72755"" + ‖ ""54f64"" - ‖ ""256334"" - ‖ ""84982"" +","5 digit number only"
"9eabb06","delimiters","33C7UALJVLY0IQ5H2XCNZNA5MDR81S","0415cca","""[hello]"" + ‖ ""hello]"" - ‖ ""[hello"" - ‖ ""[]hello"" - ‖ ""hello[]"" -","I don't know"
