"assignment.id","worker.id","trial.num","rule.id","rule.desc","example.num","polarity","string","time"
"36TFCYNS44A112R3CUR07975QTAXHY","85357a3",3,"consonants-only","The string contains only consonants",3,"negative","eiei","1485905116903"
"36TFCYNS44A112R3CUR07975QTAXHY","85357a3",3,"consonants-only","The string contains only consonants",4,"negative","oioioi","1485905117575"
"36TFCYNS44A112R3CUR07975QTAXHY","85357a3",3,"consonants-only","The string contains only consonants",5,"negative","eae","1485905118182"
"36TFCYNS44A112R3CUR07975QTAXHY","85357a3",3,"consonants-only","The string contains only consonants",6,"positive","bgvbcx","1485905118902"
"36TFCYNS44A112R3CUR07975QTAXHY","85357a3",3,"consonants-only","The string contains only consonants",7,"positive","mnbv","1485905119718"
"36TFCYNS44A112R3CUR07975QTAXHY","85357a3",3,"consonants-only","The string contains only consonants",8,"positive","qwrsdd","1485905162808"
"36TFCYNS44A112R3CUR07975QTAXHY","85357a3",3,"consonants-only","The string contains only consonants",9,"positive","qqqqqw","1485905163640"
"36TFCYNS44A112R3CUR07975QTAXHY","85357a3",3,"consonants-only","The string contains only consonants",10,"positive","trmnbb","1485905168304"
"36TFCYNS44A112R3CUR07975QTAXHY","85357a3",4,"delimiters","The string must begin with <code>[</code> and end with <code>]</code>",1,"negative","bees","1485905254195"
"36TFCYNS44A112R3CUR07975QTAXHY","85357a3",4,"delimiters","The string must begin with <code>[</code> and end with <code>]</code>",2,"negative","ham","1485905256523"
"36TFCYNS44A112R3CUR07975QTAXHY","85357a3",4,"delimiters","The string must begin with <code>[</code> and end with <code>]</code>",3,"negative","trees","1485905257476"
"36TFCYNS44A112R3CUR07975QTAXHY","85357a3",4,"delimiters","The string must begin with <code>[</code> and end with <code>]</code>",4,"negative","girls","1485905258091"
"36TFCYNS44A112R3CUR07975QTAXHY","85357a3",4,"delimiters","The string must begin with <code>[</code> and end with <code>]</code>",5,"negative","tears","1485905258867"
"36TFCYNS44A112R3CUR07975QTAXHY","85357a3",4,"delimiters","The string must begin with <code>[</code> and end with <code>]</code>",6,"positive","[bees]","1485905259795"
"36TFCYNS44A112R3CUR07975QTAXHY","85357a3",4,"delimiters","The string must begin with <code>[</code> and end with <code>]</code>",7,"positive","[ham]","1485905260395"
"36TFCYNS44A112R3CUR07975QTAXHY","85357a3",4,"delimiters","The string must begin with <code>[</code> and end with <code>]</code>",8,"positive","[trees]","1485905260948"
"36TFCYNS44A112R3CUR07975QTAXHY","85357a3",4,"delimiters","The string must begin with <code>[</code> and end with <code>]</code>",9,"positive","[girls]","1485905261483"
"36TFCYNS44A112R3CUR07975QTAXHY","85357a3",4,"delimiters","The string must begin with <code>[</code> and end with <code>]</code>",10,"positive","[tears]","1485905262069"
"39DD6S19JPBEMN0GNB7FJRQ36DOZEP","6113a67",1,"3a","The string is three or more lowercase <code>a</code>'s",1,"positive","aaa","1485958884262"
"39DD6S19JPBEMN0GNB7FJRQ36DOZEP","6113a67",2,"zip-code","The string is 5 digits in a row",1,"positive","12345","1485958896968"
"39DD6S19JPBEMN0GNB7FJRQ36DOZEP","6113a67",2,"zip-code","The string is 5 digits in a row",2,"negative","1234","1485958902929"
"39DD6S19JPBEMN0GNB7FJRQ36DOZEP","6113a67",2,"zip-code","The string is 5 digits in a row",3,"negative","123456","1485958909096"
"39DD6S19JPBEMN0GNB7FJRQ36DOZEP","6113a67",3,"consonants-only","The string contains only consonants",1,"positive","sdrth","1485958923984"
"39DD6S19JPBEMN0GNB7FJRQ36DOZEP","6113a67",3,"consonants-only","The string contains only consonants",2,"positive","sdf","1485958934576"
"39DD6S19JPBEMN0GNB7FJRQ36DOZEP","6113a67",3,"consonants-only","The string contains only consonants",3,"negative","asdfg","1485958939416"
"39DD6S19JPBEMN0GNB7FJRQ36DOZEP","6113a67",3,"consonants-only","The string contains only consonants",4,"negative","aeiou","1485958947898"
"39DD6S19JPBEMN0GNB7FJRQ36DOZEP","6113a67",3,"consonants-only","The string contains only consonants",5,"positive","qwrtyplk","1485958957442"
"39DD6S19JPBEMN0GNB7FJRQ36DOZEP","6113a67",4,"delimiters","The string must begin with <code>[</code> and end with <code>]</code>",1,"positive","[sdasfd]","1485958988850"
"39DD6S19JPBEMN0GNB7FJRQ36DOZEP","6113a67",4,"delimiters","The string must begin with <code>[</code> and end with <code>]</code>",2,"positive","[kjhsdkhlghsdkgh]","1485959004730"
"39DD6S19JPBEMN0GNB7FJRQ36DOZEP","6113a67",4,"delimiters","The string must begin with <code>[</code> and end with <code>]</code>",3,"negative","fgsdfgf","1485959016020"
"39DD6S19JPBEMN0GNB7FJRQ36DOZEP","6113a67",4,"delimiters","The string must begin with <code>[</code> and end with <code>]</code>",4,"negative","[fdsdfa","1485959021493"
"39DD6S19JPBEMN0GNB7FJRQ36DOZEP","6113a67",4,"delimiters","The string must begin with <code>[</code> and end with <code>]</code>",5,"negative","dsfsdaffd]","1485959026021"
"39DD6S19JPBEMN0GNB7FJRQ36DOZEP","6113a67",4,"delimiters","The string must begin with <code>[</code> and end with <code>]</code>",6,"negative","(dsfjdsl;jf)","1485959029900"
"3A4TN5196KIDY4G8LYVDTWMVPBNCHC","ced6748",1,"3a","The string is three or more lowercase <code>a</code>'s",1,"positive","aaa","1485904105381"
"3A4TN5196KIDY4G8LYVDTWMVPBNCHC","ced6748",1,"3a","The string is three or more lowercase <code>a</code>'s",2,"positive","aaaa","1485904110076"
"3A4TN5196KIDY4G8LYVDTWMVPBNCHC","ced6748",1,"3a","The string is three or more lowercase <code>a</code>'s",3,"positive","aaaaa","1485904112623"
"3A4TN5196KIDY4G8LYVDTWMVPBNCHC","ced6748",1,"3a","The string is three or more lowercase <code>a</code>'s",4,"negative","Aaa","1485904116060"
"3A4TN5196KIDY4G8LYVDTWMVPBNCHC","ced6748",1,"3a","The string is three or more lowercase <code>a</code>'s",5,"negative","aab","1485904125593"
"3A4TN5196KIDY4G8LYVDTWMVPBNCHC","ced6748",2,"zip-code","The string is 5 digits in a row",1,"positive","11394","1485904137355"
"3A4TN5196KIDY4G8LYVDTWMVPBNCHC","ced6748",2,"zip-code","The string is 5 digits in a row",2,"positive","95834","1485904144344"
"3A4TN5196KIDY4G8LYVDTWMVPBNCHC","ced6748",2,"zip-code","The string is 5 digits in a row",3,"positive","13094","1485904147218"
"3A4TN5196KIDY4G8LYVDTWMVPBNCHC","ced6748",2,"zip-code","The string is 5 digits in a row",4,"positive","52349","1485904151116"
"3A4TN5196KIDY4G8LYVDTWMVPBNCHC","ced6748",2,"zip-code","The string is 5 digits in a row",5,"negative","1234b","1485904154583"
"3A4TN5196KIDY4G8LYVDTWMVPBNCHC","ced6748",2,"zip-code","The string is 5 digits in a row",6,"negative","j1344","1485904160200"
"3A4TN5196KIDY4G8LYVDTWMVPBNCHC","ced6748",2,"zip-code","The string is 5 digits in a row",7,"negative","123b4","1485904165324"
"3A4TN5196KIDY4G8LYVDTWMVPBNCHC","ced6748",3,"consonants-only","The string contains only consonants",1,"positive","bncq","1485904181321"
"3A4TN5196KIDY4G8LYVDTWMVPBNCHC","ced6748",3,"consonants-only","The string contains only consonants",2,"positive","xvmp","1485904187751"
"3A4TN5196KIDY4G8LYVDTWMVPBNCHC","ced6748",3,"consonants-only","The string contains only consonants",3,"positive","qwrtplkh","1485904192222"
"3A4TN5196KIDY4G8LYVDTWMVPBNCHC","ced6748",3,"consonants-only","The string contains only consonants",4,"negative","nmbe","1485904199922"
"3A4TN5196KIDY4G8LYVDTWMVPBNCHC","ced6748",3,"consonants-only","The string contains only consonants",5,"negative","ophgf","1485904207001"
"3A4TN5196KIDY4G8LYVDTWMVPBNCHC","ced6748",3,"consonants-only","The string contains only consonants",6,"negative","bhgvdaa","1485904211360"
"3A4TN5196KIDY4G8LYVDTWMVPBNCHC","ced6748",4,"delimiters","The string must begin with <code>[</code> and end with <code>]</code>",1,"positive","[qwelfkj]","1485904227497"
"3A4TN5196KIDY4G8LYVDTWMVPBNCHC","ced6748",4,"delimiters","The string must begin with <code>[</code> and end with <code>]</code>",2,"positive","[1324123]","1485904240176"
"3A4TN5196KIDY4G8LYVDTWMVPBNCHC","ced6748",4,"delimiters","The string must begin with <code>[</code> and end with <code>]</code>",3,"positive","[wkjn234]","1485904246942"
"3A4TN5196KIDY4G8LYVDTWMVPBNCHC","ced6748",4,"delimiters","The string must begin with <code>[</code> and end with <code>]</code>",4,"negative","[1234fnv}","1485904252616"
"3A4TN5196KIDY4G8LYVDTWMVPBNCHC","ced6748",4,"delimiters","The string must begin with <code>[</code> and end with <code>]</code>",5,"negative","fo23fij]","1485904257771"
"3A4TN5196KIDY4G8LYVDTWMVPBNCHC","ced6748",4,"delimiters","The string must begin with <code>[</code> and end with <code>]</code>",6,"negative","{fwn43j}","1485904263530"
"3ATTHHXXWAO1XX2NIC9L7L8KQ6PXIR","937b8d4",1,"3a","The string is three or more lowercase <code>a</code>'s",1,"positive","aaa","1485903999576"
"3ATTHHXXWAO1XX2NIC9L7L8KQ6PXIR","937b8d4",1,"3a","The string is three or more lowercase <code>a</code>'s",2,"negative","bbb","1485904004808"
"3ATTHHXXWAO1XX2NIC9L7L8KQ6PXIR","937b8d4",1,"3a","The string is three or more lowercase <code>a</code>'s",3,"positive","aaaa","1485904008538"
"3ATTHHXXWAO1XX2NIC9L7L8KQ6PXIR","937b8d4",1,"3a","The string is three or more lowercase <code>a</code>'s",4,"negative","aa","1485904011676"
"3ATTHHXXWAO1XX2NIC9L7L8KQ6PXIR","937b8d4",1,"3a","The string is three or more lowercase <code>a</code>'s",5,"negative","c","1485904017418"
"3ATTHHXXWAO1XX2NIC9L7L8KQ6PXIR","937b8d4",1,"3a","The string is three or more lowercase <code>a</code>'s",6,"negative","cc","1485904020200"
"3ATTHHXXWAO1XX2NIC9L7L8KQ6PXIR","937b8d4",1,"3a","The string is three or more lowercase <code>a</code>'s",7,"negative","ccc","1485904023194"
"3ATTHHXXWAO1XX2NIC9L7L8KQ6PXIR","937b8d4",2,"zip-code","The string is 5 digits in a row",1,"positive","aaaaa","1485904036365"
"3ATTHHXXWAO1XX2NIC9L7L8KQ6PXIR","937b8d4",2,"zip-code","The string is 5 digits in a row",2,"positive","aaa22","1485904041968"
"3ATTHHXXWAO1XX2NIC9L7L8KQ6PXIR","937b8d4",2,"zip-code","The string is 5 digits in a row",3,"negative","aaa2","1485904051384"
"3ATTHHXXWAO1XX2NIC9L7L8KQ6PXIR","937b8d4",2,"zip-code","The string is 5 digits in a row",4,"negative","bbb22","1485904054965"
"3ATTHHXXWAO1XX2NIC9L7L8KQ6PXIR","937b8d4",2,"zip-code","The string is 5 digits in a row",5,"negative","bb22","1485904067579"
"3ATTHHXXWAO1XX2NIC9L7L8KQ6PXIR","937b8d4",3,"consonants-only","The string contains only consonants",1,"positive","bcd","1485904079942"
"3ATTHHXXWAO1XX2NIC9L7L8KQ6PXIR","937b8d4",3,"consonants-only","The string contains only consonants",2,"negative","aeiou","1485904085994"
"3ATTHHXXWAO1XX2NIC9L7L8KQ6PXIR","937b8d4",3,"consonants-only","The string contains only consonants",3,"negative","abcd","1485904092041"
"3ATTHHXXWAO1XX2NIC9L7L8KQ6PXIR","937b8d4",3,"consonants-only","The string contains only consonants",4,"positive","fbcd","1485904095538"
"3ATTHHXXWAO1XX2NIC9L7L8KQ6PXIR","937b8d4",4,"delimiters","The string must begin with <code>[</code> and end with <code>]</code>",1,"positive","[abc345]","1485904110585"
"3ATTHHXXWAO1XX2NIC9L7L8KQ6PXIR","937b8d4",4,"delimiters","The string must begin with <code>[</code> and end with <code>]</code>",2,"negative","abc345","1485904128742"
"3ATTHHXXWAO1XX2NIC9L7L8KQ6PXIR","937b8d4",4,"delimiters","The string must begin with <code>[</code> and end with <code>]</code>",3,"positive","[hghfd]","1485904135825"
"3ATTHHXXWAO1XX2NIC9L7L8KQ6PXIR","937b8d4",4,"delimiters","The string must begin with <code>[</code> and end with <code>]</code>",4,"positive","[55]","1485904149565"
"3CPLWGV3MOZ3A2VGCCGZWQIJ52T9N1","2ff83e2",1,"3a","The string is three or more lowercase <code>a</code>'s",1,"positive","an8fah_a","1485906795412"
"3CPLWGV3MOZ3A2VGCCGZWQIJ52T9N1","2ff83e2",1,"3a","The string is three or more lowercase <code>a</code>'s",2,"positive","alpaca","1485906811971"
"3CPLWGV3MOZ3A2VGCCGZWQIJ52T9N1","2ff83e2",1,"3a","The string is three or more lowercase <code>a</code>'s",3,"negative","b93kgw;_mfo","1485906836066"
"3CPLWGV3MOZ3A2VGCCGZWQIJ52T9N1","2ff83e2",1,"3a","The string is three or more lowercase <code>a</code>'s",4,"negative","nba^@90af","1485906851676"
"3CPLWGV3MOZ3A2VGCCGZWQIJ52T9N1","2ff83e2",1,"3a","The string is three or more lowercase <code>a</code>'s",5,"negative","batter","1485906861168"
"3CPLWGV3MOZ3A2VGCCGZWQIJ52T9N1","2ff83e2",1,"3a","The string is three or more lowercase <code>a</code>'s",6,"positive","aaa123","1485906878928"
"3CPLWGV3MOZ3A2VGCCGZWQIJ52T9N1","2ff83e2",2,"zip-code","The string is 5 digits in a row",1,"positive","nfas10583vns","1485906901359"
"3CPLWGV3MOZ3A2VGCCGZWQIJ52T9N1","2ff83e2",2,"zip-code","The string is 5 digits in a row",2,"positive","46186na;","1485906915694"
"3CPLWGV3MOZ3A2VGCCGZWQIJ52T9N1","2ff83e2",2,"zip-code","The string is 5 digits in a row",3,"positive","ball06928","1485906928851"
"3CPLWGV3MOZ3A2VGCCGZWQIJ52T9N1","2ff83e2",2,"zip-code","The string is 5 digits in a row",4,"negative","937k;sk","1485906940998"
"3CPLWGV3MOZ3A2VGCCGZWQIJ52T9N1","2ff83e2",2,"zip-code","The string is 5 digits in a row",5,"negative","base069","1485906947191"
"3CPLWGV3MOZ3A2VGCCGZWQIJ52T9N1","2ff83e2",2,"zip-code","The string is 5 digits in a row",6,"negative","fall951089835398","1485906958958"
"3CPLWGV3MOZ3A2VGCCGZWQIJ52T9N1","2ff83e2",3,"consonants-only","The string contains only consonants",1,"positive","bhtsdwp","1485906991556"
"3CPLWGV3MOZ3A2VGCCGZWQIJ52T9N1","2ff83e2",3,"consonants-only","The string contains only consonants",2,"positive","bzt","1485907001436"
"3CPLWGV3MOZ3A2VGCCGZWQIJ52T9N1","2ff83e2",3,"consonants-only","The string contains only consonants",3,"negative","batter","1485907008963"
"3CPLWGV3MOZ3A2VGCCGZWQIJ52T9N1","2ff83e2",3,"consonants-only","The string contains only consonants",4,"negative","ktl938","1485907014372"
"3CPLWGV3MOZ3A2VGCCGZWQIJ52T9N1","2ff83e2",3,"consonants-only","The string contains only consonants",5,"negative","39868_4985$","1485907022683"
"3CPLWGV3MOZ3A2VGCCGZWQIJ52T9N1","2ff83e2",4,"delimiters","The string must begin with <code>[</code> and end with <code>]</code>",1,"positive","[baseball]","1485907039770"
"3CPLWGV3MOZ3A2VGCCGZWQIJ52T9N1","2ff83e2",4,"delimiters","The string must begin with <code>[</code> and end with <code>]</code>",2,"positive","[mna_8%234]","1485907050858"
"3CPLWGV3MOZ3A2VGCCGZWQIJ52T9N1","2ff83e2",4,"delimiters","The string must begin with <code>[</code> and end with <code>]</code>",3,"positive","[*#*#(^^#]","1485907064202"
"3CPLWGV3MOZ3A2VGCCGZWQIJ52T9N1","2ff83e2",4,"delimiters","The string must begin with <code>[</code> and end with <code>]</code>",4,"negative","[teller}","1485907074081"
"3CPLWGV3MOZ3A2VGCCGZWQIJ52T9N1","2ff83e2",4,"delimiters","The string must begin with <code>[</code> and end with <code>]</code>",5,"negative","4856NLjla","1485907085081"
"3CTOC39K37Q3DTG2IHQNPNAW1S77JQ","3d1066b",1,"3a","The string is three or more lowercase <code>a</code>'s",1,"positive","aaa","1485958714610"
"3CTOC39K37Q3DTG2IHQNPNAW1S77JQ","3d1066b",1,"3a","The string is three or more lowercase <code>a</code>'s",2,"negative","aba","1485958717930"
"3CTOC39K37Q3DTG2IHQNPNAW1S77JQ","3d1066b",1,"3a","The string is three or more lowercase <code>a</code>'s",3,"positive","a a a","1485958721298"
"3CTOC39K37Q3DTG2IHQNPNAW1S77JQ","3d1066b",2,"zip-code","The string is 5 digits in a row",1,"positive","12345","1485958727918"
"3CTOC39K37Q3DTG2IHQNPNAW1S77JQ","3d1066b",2,"zip-code","The string is 5 digits in a row",2,"positive","65428","1485958732502"
"3CTOC39K37Q3DTG2IHQNPNAW1S77JQ","3d1066b",2,"zip-code","The string is 5 digits in a row",3,"negative","25a18","1485958737365"
"3CTOC39K37Q3DTG2IHQNPNAW1S77JQ","3d1066b",2,"zip-code","The string is 5 digits in a row",4,"negative","2584","1485958742278"
"3CTOC39K37Q3DTG2IHQNPNAW1S77JQ","3d1066b",3,"consonants-only","The string contains only consonants",1,"positive","dfr","1485958753902"
"3CTOC39K37Q3DTG2IHQNPNAW1S77JQ","3d1066b",3,"consonants-only","The string contains only consonants",2,"positive","plkjh","1485958760374"
"3CTOC39K37Q3DTG2IHQNPNAW1S77JQ","3d1066b",3,"consonants-only","The string contains only consonants",3,"positive","dgtwdb","1485958765869"
"3CTOC39K37Q3DTG2IHQNPNAW1S77JQ","3d1066b",3,"consonants-only","The string contains only consonants",4,"negative","arfguh","1485958772949"
"3CTOC39K37Q3DTG2IHQNPNAW1S77JQ","3d1066b",3,"consonants-only","The string contains only consonants",5,"negative","uhcbp","1485958780254"
"3CTOC39K37Q3DTG2IHQNPNAW1S77JQ","3d1066b",4,"delimiters","The string must begin with <code>[</code> and end with <code>]</code>",1,"positive","[asdoias321]","1485958791819"
"3CTOC39K37Q3DTG2IHQNPNAW1S77JQ","3d1066b",4,"delimiters","The string must begin with <code>[</code> and end with <code>]</code>",2,"positive","[asiouh]","1485958801218"
"3CTOC39K37Q3DTG2IHQNPNAW1S77JQ","3d1066b",4,"delimiters","The string must begin with <code>[</code> and end with <code>]</code>",3,"negative","asdkhasd]","1485958806538"
